[0618/082030.943:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x301c001ac800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/082031.337:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x301c001ac800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/082031.595:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x301c001ac800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/082031.900:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x301c001ac800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/082210.253:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5234001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/082210.573:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5234001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/082210.825:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5234001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/082211.110:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5234001b8800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/082412.531:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x372c00190800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/082412.894:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x372c00190800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/082413.156:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x372c00190800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0618/082413.438:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x372c00190800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0618/083427.577:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x73cc001b4800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
